Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Age,Gender,Device,kategori,duration_days,Country_Australia,Country_Brazil,Country_Canada,Country_France,Country_Germany,Country_Italy,Country_Mexico,Country_Spain,Country_United Kingdom,Country_United States,Plan Duration_1 Month
0,10,2022-01-15,2023-10-06,28,1,3,1,629,0,0,0,0,0,0,0,0,0,1,1
1,15,2021-05-09,2023-06-22,35,0,2,1,774,0,0,1,0,0,0,0,0,0,0,1
2,12,2023-02-28,2023-06-27,42,1,4,1,119,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-10-07,2023-06-26,51,0,1,2,262,1,0,0,0,0,0,0,0,0,0,1
0,10,2023-01-05,2023-06-28,33,1,3,1,174,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-03-18,2023-06-27,29,0,4,1,466,0,0,0,1,0,0,0,0,0,0,1
2,12,2021-09-12,2023-06-25,46,1,2,1,651,0,1,0,0,0,0,0,0,0,0,1
0,10,2023-02-04,2023-06-24,39,0,1,1,140,0,0,0,0,0,0,1,0,0,0,1
2,12,2022-10-20,2023-06-23,37,1,3,1,246,0,0,0,0,0,0,0,1,0,0,1
1,15,2023-07-01,2023-06-22,44,0,4,1,-9,0,0,0,0,0,1,0,0,0,0,1
0,10,2022-05-16,2023-06-22,31,0,3,1,402,0,0,0,0,0,0,0,0,0,1,1
1,15,2023-03-23,2023-06-28,45,1,2,1,97,0,0,1,0,0,0,0,0,0,0,1
2,12,2021-11-30,2023-06-27,48,0,1,1,574,0,0,0,0,0,0,0,0,1,0,1
0,10,2022-01-08,2023-06-26,27,1,3,1,534,1,0,0,0,0,0,0,0,0,0,1
2,12,2023-09-05,2023-06-28,38,0,4,1,-69,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-07-04,2023-06-27,36,1,2,1,358,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-01-24,2023-06-25,30,0,1,1,517,0,1,0,0,0,0,0,0,0,0,1
2,12,2021-10-18,2023-06-24,43,1,3,1,614,0,0,0,0,0,0,1,0,0,0,1
1,15,2023-02-15,2023-06-23,32,0,4,1,128,0,0,0,0,0,0,0,1,0,0,1
0,10,2023-05-27,2023-06-22,41,1,2,1,26,0,0,0,0,0,1,0,0,0,0,1
1,15,2023-10-06,2023-06-22,26,0,1,1,-106,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-07-22,2023-06-28,34,1,3,1,341,0,0,1,0,0,0,0,0,0,0,1
2,12,2021-05-12,2023-06-27,49,0,4,2,776,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-03-04,2023-06-26,31,1,2,1,479,1,0,0,0,0,0,0,0,0,0,1
0,10,2023-03-14,2023-06-28,40,0,1,1,106,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-12-01,2023-06-27,29,1,3,1,208,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-08-29,2023-06-25,47,0,4,1,300,0,1,0,0,0,0,0,0,0,0,1
2,12,2021-09-27,2023-06-24,33,1,2,1,635,0,0,0,0,0,0,1,0,0,0,1
1,15,2022-12-19,2023-06-23,36,0,1,1,186,0,0,0,0,0,0,0,1,0,0,1
0,10,2023-05-17,2023-06-22,42,1,3,1,36,0,0,0,0,0,1,0,0,0,0,1
1,15,2023-03-02,2023-06-22,28,0,4,1,112,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-07-07,2023-06-28,37,1,2,1,356,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-01-21,2023-06-27,41,0,1,1,522,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-05-25,2023-06-26,29,1,3,1,397,1,0,0,0,0,0,0,0,0,0,1
0,10,2023-11-04,2023-06-28,39,0,4,1,-129,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-01-03,2023-06-27,35,1,2,1,540,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-09-14,2023-06-25,45,0,1,1,284,0,1,0,0,0,0,0,0,0,0,1
2,12,2021-05-11,2023-06-24,32,1,3,1,774,0,0,0,0,0,0,1,0,0,0,1
1,15,2022-12-28,2023-06-23,27,0,4,1,177,0,0,0,0,0,0,0,1,0,0,1
0,10,2023-07-03,2023-06-22,48,1,2,1,-11,0,0,0,0,0,1,0,0,0,0,1
1,15,2023-01-20,2023-06-22,31,0,1,1,153,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-06-15,2023-06-28,40,1,3,1,378,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-07-02,2023-06-27,36,0,4,1,360,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-04-26,2023-06-26,29,1,2,1,426,1,0,0,0,0,0,0,0,0,0,1
0,10,2023-01-28,2023-06-28,43,0,1,1,151,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-02-23,2023-06-27,34,1,3,1,489,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-05-10,2023-06-25,39,0,4,1,411,0,1,0,0,0,0,0,0,0,0,1
2,12,2021-09-15,2023-06-24,32,1,2,1,647,0,0,0,0,0,0,1,0,0,0,1
1,15,2022-10-11,2023-06-23,28,0,1,1,255,0,0,0,0,0,0,0,1,0,0,1
0,10,2023-02-06,2023-06-22,45,1,3,1,136,0,0,0,0,0,1,0,0,0,0,1
1,15,2023-02-27,2023-06-22,30,0,4,1,115,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-08-29,2023-06-28,37,1,2,1,303,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-01-13,2023-06-27,41,0,1,1,530,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-06-30,2023-06-26,29,1,3,1,361,1,0,0,0,0,0,0,0,0,0,1
0,10,2023-04-20,2023-06-28,39,0,4,1,69,0,0,0,0,1,0,0,0,0,0,1
1,15,2022-03-15,2023-06-27,36,1,2,1,469,0,0,0,1,0,0,0,0,0,0,1
0,10,2022-01-10,2023-06-25,46,0,1,1,531,0,1,0,0,0,0,0,0,0,0,1
2,12,2021-08-10,2023-06-24,34,1,3,1,683,0,0,0,0,0,0,1,0,0,0,1
1,15,2022-03-12,2023-06-23,27,0,4,1,468,0,0,0,0,0,0,0,1,0,0,1
0,10,2023-06-14,2023-06-22,42,1,2,1,8,0,0,0,0,0,1,0,0,0,0,1
1,15,2023-08-02,2023-06-22,28,0,1,1,-41,0,0,0,0,0,0,0,0,0,1,1
0,10,2022-03-08,2023-06-28,37,1,3,1,477,0,0,1,0,0,0,0,0,0,0,1
2,12,2022-02-23,2023-06-27,41,0,4,1,489,0,0,0,0,0,0,0,0,1,0,1
2,12,2022-06-20,2023-06-26,29,1,2,1,371,1,0,0,0,0,0,0,0,0,0,1
